"Title","RSI: Alcoholic Drinks, Beverages & Tobacco (val nsa) All Business Index"
"CDID","CY45"
"Source dataset ID","DRSI"
"PreUnit",""
"Unit",""
"Release date","16-02-2018"
"Next release","22 March 2018"
"Important notes",
"1988 JAN","125.5"
"1988 FEB","131.2"
"1988 MAR","137.6"
"1988 APR","141.3"
"1988 MAY","143.2"
"1988 JUN","143.3"
"1988 JUL","146.2"
"1988 AUG","151.1"
"1988 SEP","140.9"
"1988 OCT","144.3"
"1988 NOV","148.2"
"1988 DEC","199.9"
"1989 JAN","131.3"
"1989 FEB","141.2"
"1989 MAR","146.1"
"1989 APR","147.2"
"1989 MAY","156.1"
"1989 JUN","153.2"
"1989 JUL","161.0"
"1989 AUG","160.3"
"1989 SEP","152.1"
"1989 OCT","153.3"
"1989 NOV","158.6"
"1989 DEC","214.8"
"1990 JAN","143.7"
"1990 FEB","156.0"
"1990 MAR","157.8"
"1990 APR","165.6"
"1990 MAY","172.1"
"1990 JUN","166.8"
"1990 JUL","177.2"
"1990 AUG","176.7"
"1990 SEP","165.7"
"1990 OCT","168.1"
"1990 NOV","170.5"
"1990 DEC","225.7"
"1991 JAN","149.3"
"1991 FEB","163.0"
"1991 MAR","161.1"
"1991 APR","167.4"
"1991 MAY","169.0"
"1991 JUN","171.2"
"1991 JUL","181.1"
"1991 AUG","182.3"
"1991 SEP","174.1"
"1991 OCT","171.3"
"1991 NOV","171.9"
"1991 DEC","221.5"
"1992 JAN","159.2"
"1992 FEB","173.3"
"1992 MAR","169.2"
"1992 APR","176.9"
"1992 MAY","179.5"
"1992 JUN","182.5"
"1992 JUL","180.5"
"1992 AUG","177.8"
"1992 SEP","173.4"
"1992 OCT","174.8"
"1992 NOV","182.8"
"1992 DEC","214.7"
"1993 JAN","162.2"
"1993 FEB","170.9"
"1993 MAR","173.4"
"1993 APR","180.7"
"1993 MAY","179.1"
"1993 JUN","181.8"
"1993 JUL","183.5"
"1993 AUG","182.5"
"1993 SEP","175.5"
"1993 OCT","177.7"
"1993 NOV","182.3"
"1993 DEC","208.2"
"1994 JAN","162.1"
"1994 FEB","171.0"
"1994 MAR","173.3"
"1994 APR","179.0"
"1994 MAY","182.3"
"1994 JUN","183.3"
"1994 JUL","190.0"
"1994 AUG","181.5"
"1994 SEP","171.9"
"1994 OCT","176.9"
"1994 NOV","182.1"
"1994 DEC","211.7"
"1995 JAN","153.4"
"1995 FEB","171.6"
"1995 MAR","169.6"
"1995 APR","180.8"
"1995 MAY","187.9"
"1995 JUN","184.8"
"1995 JUL","191.8"
"1995 AUG","192.9"
"1995 SEP","179.6"
"1995 OCT","184.4"
"1995 NOV","187.1"
"1995 DEC","217.8"
"1996 JAN","163.3"
"1996 FEB","175.7"
"1996 MAR","178.9"
"1996 APR","185.6"
"1996 MAY","184.7"
"1996 JUN","190.1"
"1996 JUL","190.5"
"1996 AUG","185.9"
"1996 SEP","181.1"
"1996 OCT","184.7"
"1996 NOV","186.7"
"1996 DEC","212.9"
"1997 JAN","172.4"
"1997 FEB","179.0"
"1997 MAR","184.8"
"1997 APR","192.0"
"1997 MAY","191.0"
"1997 JUN","190.2"
"1997 JUL","193.4"
"1997 AUG","192.8"
"1997 SEP","184.6"
"1997 OCT","187.2"
"1997 NOV","193.4"
"1997 DEC","222.9"
"1998 JAN","173.2"
"1998 FEB","183.7"
"1998 MAR","184.2"
"1998 APR","193.9"
"1998 MAY","199.1"
"1998 JUN","198.3"
"1998 JUL","196.4"
"1998 AUG","198.4"
"1998 SEP","189.2"
"1998 OCT","187.6"
"1998 NOV","194.5"
"1998 DEC","221.6"
"1999 JAN","175.5"
"1999 FEB","189.6"
"1999 MAR","193.3"
"1999 APR","197.4"
"1999 MAY","204.0"
"1999 JUN","206.6"
"1999 JUL","204.1"
"1999 AUG","199.9"
"1999 SEP","202.6"
"1999 OCT","201.1"
"1999 NOV","205.9"
"1999 DEC","236.8"
"2000 JAN","183.6"
"2000 FEB","192.4"
"2000 MAR","182.9"
"2000 APR","191.2"
"2000 MAY","192.5"
"2000 JUN","186.7"
"2000 JUL","191.1"
"2000 AUG","192.8"
"2000 SEP","182.7"
"2000 OCT","193.5"
"2000 NOV","199.6"
"2000 DEC","231.4"
"2001 JAN","161.0"
"2001 FEB","179.4"
"2001 MAR","177.8"
"2001 APR","188.4"
"2001 MAY","198.0"
"2001 JUN","194.9"
"2001 JUL","198.0"
"2001 AUG","198.1"
"2001 SEP","182.9"
"2001 OCT","190.3"
"2001 NOV","190.5"
"2001 DEC","213.0"
"2002 JAN","168.3"
"2002 FEB","177.2"
"2002 MAR","178.6"
"2002 APR","184.5"
"2002 MAY","185.5"
"2002 JUN","181.2"
"2002 JUL","185.7"
"2002 AUG","182.7"
"2002 SEP","175.6"
"2002 OCT","173.5"
"2002 NOV","180.4"
"2002 DEC","205.0"
"2003 JAN","151.5"
"2003 FEB","162.3"
"2003 MAR","162.0"
"2003 APR","172.0"
"2003 MAY","170.8"
"2003 JUN","170.7"
"2003 JUL","171.8"
"2003 AUG","160.5"
"2003 SEP","155.3"
"2003 OCT","162.8"
"2003 NOV","165.2"
"2003 DEC","187.6"
"2004 JAN","136.5"
"2004 FEB","146.0"
"2004 MAR","151.1"
"2004 APR","159.7"
"2004 MAY","158.7"
"2004 JUN","159.7"
"2004 JUL","159.5"
"2004 AUG","166.2"
"2004 SEP","154.7"
"2004 OCT","155.6"
"2004 NOV","162.2"
"2004 DEC","183.6"
"2005 JAN","125.5"
"2005 FEB","135.7"
"2005 MAR","141.5"
"2005 APR","153.1"
"2005 MAY","153.6"
"2005 JUN","159.7"
"2005 JUL","152.0"
"2005 AUG","149.2"
"2005 SEP","143.9"
"2005 OCT","146.3"
"2005 NOV","153.9"
"2005 DEC","167.5"
"2006 JAN","121.7"
"2006 FEB","134.1"
"2006 MAR","130.6"
"2006 APR","141.4"
"2006 MAY","141.6"
"2006 JUN","150.0"
"2006 JUL","155.5"
"2006 AUG","148.4"
"2006 SEP","141.4"
"2006 OCT","147.9"
"2006 NOV","147.6"
"2006 DEC","176.0"
"2007 JAN","120.5"
"2007 FEB","126.9"
"2007 MAR","135.4"
"2007 APR","144.7"
"2007 MAY","145.4"
"2007 JUN","142.5"
"2007 JUL","137.7"
"2007 AUG","136.6"
"2007 SEP","128.6"
"2007 OCT","128.3"
"2007 NOV","137.1"
"2007 DEC","159.2"
"2008 JAN","123.1"
"2008 FEB","129.5"
"2008 MAR","129.5"
"2008 APR","144.2"
"2008 MAY","152.6"
"2008 JUN","148.4"
"2008 JUL","150.3"
"2008 AUG","140.0"
"2008 SEP","139.7"
"2008 OCT","142.1"
"2008 NOV","146.3"
"2008 DEC","158.0"
"2009 JAN","101.1"
"2009 FEB","124.0"
"2009 MAR","120.5"
"2009 APR","127.0"
"2009 MAY","130.6"
"2009 JUN","134.6"
"2009 JUL","130.7"
"2009 AUG","129.0"
"2009 SEP","121.1"
"2009 OCT","121.7"
"2009 NOV","126.7"
"2009 DEC","145.9"
"2010 JAN","102.8"
"2010 FEB","102.5"
"2010 MAR","104.7"
"2010 APR","105.1"
"2010 MAY","108.7"
"2010 JUN","106.5"
"2010 JUL","102.9"
"2010 AUG","94.3"
"2010 SEP","80.4"
"2010 OCT","82.4"
"2010 NOV","99.3"
"2010 DEC","104.7"
"2011 JAN","78.6"
"2011 FEB","92.5"
"2011 MAR","92.8"
"2011 APR","103.2"
"2011 MAY","99.0"
"2011 JUN","109.6"
"2011 JUL","107.9"
"2011 AUG","103.0"
"2011 SEP","104.5"
"2011 OCT","112.8"
"2011 NOV","114.9"
"2011 DEC","135.6"
"2012 JAN","85.1"
"2012 FEB","90.7"
"2012 MAR","86.8"
"2012 APR","90.8"
"2012 MAY","98.4"
"2012 JUN","94.8"
"2012 JUL","99.3"
"2012 AUG","97.3"
"2012 SEP","85.9"
"2012 OCT","70.3"
"2012 NOV","85.6"
"2012 DEC","96.6"
"2013 JAN","75.1"
"2013 FEB","80.3"
"2013 MAR","82.0"
"2013 APR","85.0"
"2013 MAY","88.1"
"2013 JUN","86.3"
"2013 JUL","87.6"
"2013 AUG","81.6"
"2013 SEP","83.2"
"2013 OCT","83.2"
"2013 NOV","96.0"
"2013 DEC","111.8"
"2014 JAN","67.9"
"2014 FEB","75.8"
"2014 MAR","78.6"
"2014 APR","99.8"
"2014 MAY","85.6"
"2014 JUN","84.2"
"2014 JUL","85.8"
"2014 AUG","81.5"
"2014 SEP","86.0"
"2014 OCT","89.2"
"2014 NOV","101.6"
"2014 DEC","134.1"
"2015 JAN","74.5"
"2015 FEB","84.8"
"2015 MAR","85.6"
"2015 APR","95.2"
"2015 MAY","102.7"
"2015 JUN","103.2"
"2015 JUL","100.6"
"2015 AUG","97.0"
"2015 SEP","102.0"
"2015 OCT","98.1"
"2015 NOV","112.3"
"2015 DEC","136.9"
"2016 JAN","75.4"
"2016 FEB","104.1"
"2016 MAR","106.0"
"2016 APR","112.7"
"2016 MAY","118.5"
"2016 JUN","124.6"
"2016 JUL","117.0"
"2016 AUG","114.5"
"2016 SEP","105.2"
"2016 OCT","109.1"
"2016 NOV","120.5"
"2016 DEC","139.6"
"2017 JAN","79.5"
"2017 FEB","93.8"
"2017 MAR","92.3"
"2017 APR","97.3"
"2017 MAY","102.8"
"2017 JUN","114.6"
"2017 JUL","90.4"
"2017 AUG","85.7"
"2017 SEP","90.1"
"2017 OCT","92.9"
"2017 NOV","109.4"
"2017 DEC","134.8"
"2018 JAN","77.4"
